username,fans,year,views,likes,coins,collects,part
DarkCarrot,580000,2022,98611126.0,3843182.0,1803113.0,611131.0,游戏
Uzi,4489000,2023,103350000.0,7500533.0,2711230.0,572465.0,游戏
Warma,3433447,2022,371406000.0,25022226.0,12680418.0,7942392.0,游戏
一只小仙若,2020000,2021,211170000.0,5114585.0,2251788.0,2601028.0,舞蹈
不愧是姐姐大人,2493274,2022,294029000.0,23351000.0,5808861.0,3839361.0,生活
东尼ookii,4497661,2022,715378000.0,54572723.0,16956069.0,5562448.0,生活
信誓蛋蛋,4287143,2022,300292000.0,12926398.0,11159517.0,1775503.0,生活
冯提莫,2797000,2021,48550000.0,2966771.0,1435495.0,335780.0,音乐
凉风Kaze,8036000,2021,1184682000.0,97266674.0,39049540.0,12531555.0,动画
刘加勇医生,1862000,2023,201218037.0,10526882.0,863732.0,3496109.0,知识
力元君,3756804,2022,676968000.0,52035512.0,21426482.0,6425022.0,生活
华农兄弟,6387000,2023,1256790000.0,57588000.0,14241271.0,2616714.0,美食
司马南,1974000,2023,338179279.0,27291308.0,5596800.0,1938576.0,资讯
吟游诗人基德,2149927,2022,212315000.0,11756000.0,4051718.0,2711483.0,知识
周六野Zoey,8184000,2021,639512000.0,11229467.0,4702346.0,36738357.0,运动
哇哇哇妹,1642000,2023,426165000.0,15943714.0,3812469.0,1992744.0,影视
在下哲别,2621362,2022,222220000.0,16260000.0,3861226.0,1409692.0,生活
墨韵Moyun,2125000,2021,122930000.0,6178585.0,5759292.0,3448680.0,音乐
夏叔厨房,756000,2022,78150840.0,6180488.0,430114.0,3332821.0,美食
小白Nanno,1532000,2023,71905000.0,5502698.0,389769.0,597116.0,时尚
小贝饿了,2691000,2023,502877000.0,17665294.0,2709162.0,1197471.0,美食
徐云流浪中国,2577000,2023,157213000.0,9549000.0,8055695.0,663232.0,生活
扶桑大红花,1196000,2023,79254106.0,7120801.0,1923871.0,2120321.0,动画
指法芬芳张大仙,6438000,2021,1622077000.0,83117023.0,12670469.0,5162772.0,游戏
排骨教主,3035000,2021,114011000.0,3672798.0,3749032.0,3303178.0,音乐
智能路障,2980251,2022,160100000.0,10819104.0,8409919.0,4315037.0,知识
朱一旦的枯燥生活,4455000,2021,1001195000.0,44366000.0,14730270.0,3638624.0,生活
朱昊鲲,2346110,2022,30366000.0,766802.0,212783.0,250432.0,知识
李子柒,7893000,2021,292735000.0,13090329.0,6986002.0,1633341.0,美食
歪果仁研究协会,4000000,2021,355421000.0,18186270.0,9440400.0,2166622.0,生活
毒角SHOW,2947000,2021,248017000.0,7434783.0,2535568.0,742011.0,生活
没煮熟的大鹅,944000,2023,155206000.0,8216607.0,545027.0,359954.0,美食
渗透之C君,5622000,2021,517128000.0,17267030.0,13834988.0,7247247.0,游戏
灰太狼的羊,653000,2023,37865000.0,3466000.0,176254.0,135529.0,生活
程十安an,1430000,2021,48469000.0,2532231.0,1096635.0,2037717.0,时尚
笑cry的小仙爷,1272000,2021,45930000.0,1759453.0,849455.0,748006.0,时尚
纳豆奶奶,4394000,2021,370732000.0,26592450.0,12434422.0,3550462.0,生活
英语的平行世界,2423490,2022,77987000.0,1785384.0,1008885.0,1689551.0,知识
路温1900,2878000,2022,331905000.0,18215000.0,5975609.0,1529218.0,影视
路温1900,2325000,2023,363027000.0,20003000.0,6687285.0,1698807.0,影视
野球帝,1436000,2023,308446961.0,13145205.0,1936747.0,2435071.0,运动
闪耀优俊少女,1568000,2023,28170164.0,1381373.0,52108.0,104797.0,游戏
非匿名指令,897000,2023,8530000.0,325842.0,10832.0,40177.0,游戏
靠脸吃饭的徐大王,3879553,2022,1012976000.0,37696454.0,15448009.0,3362695.0,游戏
