username,fans,year,views,likes,coins,collects,part
-LKs-,2983000,2022,301079200.0,18585753.0,9475687.0,5545783.0,游戏
-LKs-,3608000,2023,389304200.0,24791753.0,12085941.0,7039794.0,游戏
-小D-biu,760000,2021,71838000.0,4027163.0,1544392.0,1164235.0,舞蹈
-小D-biu,1423000,2023,191764000.0,12935163.0,3058711.0,2686215.0,舞蹈
=咬人猫=,3673000,2021,368342000.0,7093496.0,7145376.0,4868353.0,舞蹈
1900影剧室,1264000,2021,169856000.0,6304976.0,4001811.0,1495589.0,影视
AHALOLO,985000,2022,81046000.0,5810217.0,2927114.0,907397.0,时尚
BBoxer酋长,1259000,2023,115626000.0,7723570.0,2030331.0,1092753.0,音乐
Chubbyemu,2266000,2023,146810000.0,7133105.0,1367136.0,1035281.0,知识
CSGO久菜合子,1183000,2022,110956000.0,4937795.0,922507.0,542335.0,游戏
Darkcarrot,416000,2021,54619862.0,2034143.0,1008061.0,319342.0,游戏
DarkCarrot,416000,2023,155428862.0,6316143.0,2820061.0,1075551.0,游戏
EDmundDzhang,3118000,2021,488233000.0,11241523.0,13080380.0,4303966.0,游戏
FoFTG,1898000,2022,374090086.0,22725356.0,4572238.0,5255122.0,游戏
hanser,2964000,2021,233210000.0,14506377.0,9546652.0,7193785.0,音乐
HOLA小测佬,2020000,2022,387160000.0,17943675.0,3757783.0,5279712.0,美食
HOLA小测佬,3814000,2023,564005000.0,24812675.0,5614364.0,7891454.0,美食
HOPICO,1038000,2022,62976000.0,3584034.0,2741769.0,1220311.0,音乐
HOPICO,1612000,2023,106431000.0,6129034.0,4210876.0,1926821.0,音乐
HuangFuRen,7468000,2023,860917000.0,25194539.0,12936054.0,8010605.0,知识
Jason-老湿,2081000,2023,220612000.0,11027111.0,4798913.0,3603496.0,音乐
light是光华,630000,2022,25646000.0,4099000.0,898703.0,1004949.0,动画
Linksphotograph,1896000,2023,93829000.0,4281727.0,2806105.0,2166283.0,科技
MayTree五月树,1989000,2021,210488000.0,10590000.0,2721233.0,1899921.0,音乐
Meetfood觅食,3433000,2023,543451000.0,31176203.0,9675257.0,5135578.0,美食
Milk缪客,622000,2022,160700000.0,5455342.0,1579813.0,1326021.0,动画
Mr迷瞪,1185000,2022,65694607.0,3975097.0,1428638.0,1406399.0,生活
Mr迷瞪,1726000,2023,92353607.0,4719795.0,1500439.0,1638625.0,生活
M木糖M,1670000,2021,132090000.0,6039006.0,1689063.0,1052740.0,游戏
